Year,Volume,Issue,Title,Authors,Cite As,DOI
,,,The Pricing of Jump Propagation: Evidence from Spot and Options Markets,"Du Du, Dan Luo","Du Du, Dan Luo () The Pricing of Jump Propagation: Evidence from Spot and Options Markets. Management Science ():",https://doi.org/10.1287/mnsc.2017.2885
,,,Imperfect Renegotiations in Interbank Financial Networks,"Alexander David, Alfred Lehar","Alexander David, Alfred Lehar () Imperfect Renegotiations in Interbank Financial Networks. Management Science ():",https://doi.org/10.1287/mnsc.2017.2869
,,,Going for Gold: An Analysis of Morningstar Analyst Ratings,"Will J. Armstrong, Egemen Genc, Marno Verbeek","Will J. Armstrong, Egemen Genc, Marno Verbeek () Going for Gold: An Analysis of Morningstar Analyst Ratings. Management Science ():",https://doi.org/10.1287/mnsc.2017.2884
,,,Dynamic Portfolio Execution,"Gerry Tsoukalas, Jiang Wang, Kay Giesecke","Gerry Tsoukalas, Jiang Wang, Kay Giesecke () Dynamic Portfolio Execution. Management Science ():",https://doi.org/10.1287/mnsc.2017.2865
,,,Regulation and Market Liquidity,"Francesco Trebbi, Kairong Xiao","Francesco Trebbi, Kairong Xiao () Regulation and Market Liquidity. Management Science ():",https://doi.org/10.1287/mnsc.2017.2876
,,,Referral Priority Program: Leveraging Social Ties via Operational Incentives,"Luyi Yang, Laurens Debo","Luyi Yang, Laurens Debo () Referral Priority Program: Leveraging Social Ties via Operational Incentives. Management Science ():",https://doi.org/10.1287/mnsc.2018.3034
,,,Saving Patient Ryan—Can Advanced Electronic Medical Records Make Patient Care Safer?,"Muhammad Zia Hydari, Rahul Telang, William M. Marella","Muhammad Zia Hydari, Rahul Telang, William M. Marella () Saving Patient Ryan—Can Advanced Electronic Medical Records Make Patient Care Safer?. Management Science ():",https://doi.org/10.1287/mnsc.2018.3042
,,,"The Limit of Rationality in Choice Modeling: Formulation, Computation, and Implications","Srikanth Jagabathula, Paat Rusmevichientong","Srikanth Jagabathula, Paat Rusmevichientong () The Limit of Rationality in Choice Modeling: Formulation, Computation, and Implications. Management Science ():",https://doi.org/10.1287/mnsc.2018.3030
,,,The More You Know: Information Effects on Job Application Rates in a Large Field Experiment,Laura K. Gee,Laura K. Gee () The More You Know: Information Effects on Job Application Rates in a Large Field Experiment. Management Science ():,https://doi.org/10.1287/mnsc.2017.2994
,,,Why Markdown as a Pricing Modality?,"Elodie Adida, Özalp Özer","Elodie Adida, Özalp Özer () Why Markdown as a Pricing Modality?. Management Science ():",https://doi.org/10.1287/mnsc.2018.3046
,,,Sunk Cost as a Self-Management Device,"Fuhai Hong, Wei Huang, Xiaojian Zhao","Fuhai Hong, Wei Huang, Xiaojian Zhao () Sunk Cost as a Self-Management Device. Management Science ():",https://doi.org/10.1287/mnsc.2018.3032
,,,The Implications of Credit Risk Modeling for Banks’ Loan Loss Provisions and Loan-Origination Procyclicality,"Gauri Bhat, Stephen G. Ryan, Dushyantkumar Vyas","Gauri Bhat, Stephen G. Ryan, Dushyantkumar Vyas () The Implications of Credit Risk Modeling for Banks’ Loan Loss Provisions and Loan-Origination Procyclicality. Management Science ():",https://doi.org/10.1287/mnsc.2018.3041
,,,The Impact of Delay Announcements on Hospital Network Coordination and Waiting Times,"Jing Dong, Elad Yom-Tov, Galit B. Yom-Tov","Jing Dong, Elad Yom-Tov, Galit B. Yom-Tov () The Impact of Delay Announcements on Hospital Network Coordination and Waiting Times. Management Science ():",https://doi.org/10.1287/mnsc.2018.3048
,,,Process Utility and the Effect of Inaction Frames,"Ioannis Evangelidis, Jonathan Levav","Ioannis Evangelidis, Jonathan Levav () Process Utility and the Effect of Inaction Frames. Management Science ():",https://doi.org/10.1287/mnsc.2017.3013
,,,Drivers of Product Expiration in Consumer Packaged Goods Retailing,"Arzum Akkas, Vishal Gaur, David Simchi-Levi","Arzum Akkas, Vishal Gaur, David Simchi-Levi () Drivers of Product Expiration in Consumer Packaged Goods Retailing. Management Science ():",https://doi.org/10.1287/mnsc.2018.3051
,,,"Choice Architecture, Framing, and Cascaded Privacy Choices","Idris Adjerid, Alessandro Acquisti, George Loewenstein","Idris Adjerid, Alessandro Acquisti, George Loewenstein () Choice Architecture, Framing, and Cascaded Privacy Choices. Management Science ():",https://doi.org/10.1287/mnsc.2018.3028
,,,"Comment on “Naiveté, Projection Bias, and Habit Formation in Gym Attendance”",Oliver März,"Oliver März () Comment on “Naiveté, Projection Bias, and Habit Formation in Gym Attendance”. Management Science ():",https://doi.org/10.1287/mnsc.2017.3022
,,,A Dynamic Clustering Approach to Data-Driven Assortment Personalization,"Fernando Bernstein, Sajad Modaresi, Denis Sauré","Fernando Bernstein, Sajad Modaresi, Denis Sauré () A Dynamic Clustering Approach to Data-Driven Assortment Personalization. Management Science ():",https://doi.org/10.1287/mnsc.2018.3031
,,,The Role of Market Evolution in Channel Contracting,"Long Gao, Birendra K. Mishra","Long Gao, Birendra K. Mishra () The Role of Market Evolution in Channel Contracting. Management Science ():",https://doi.org/10.1287/mnsc.2018.3057
,,,“Hello Jumbo!” The Spatio-Temporal Rollout and Traffic to a New Grocery Chain After Acquisition,"Arjen van Lin, Els Gijsbrechts","Arjen van Lin, Els Gijsbrechts () “Hello Jumbo!” The Spatio-Temporal Rollout and Traffic to a New Grocery Chain After Acquisition. Management Science ():",https://doi.org/10.1287/mnsc.2018.3054
,,,"Your Uber Is Arriving: Managing On-Demand Workers Through Surge Pricing, Forecast Communication, and Worker Incentives","Harish Guda, Upender Subramanian","Harish Guda, Upender Subramanian () Your Uber Is Arriving: Managing On-Demand Workers Through Surge Pricing, Forecast Communication, and Worker Incentives. Management Science ():",https://doi.org/10.1287/mnsc.2018.3050
,,,Population Monotonicity in Newsvendor Games,"Xin Chen, Xiangyu Gao, Zhenyu Hu, Qiong Wang","Xin Chen, Xiangyu Gao, Zhenyu Hu, Qiong Wang () Population Monotonicity in Newsvendor Games. Management Science ():",https://doi.org/10.1287/mnsc.2018.3053
,,,Extracting the Wisdom of Crowds When Information Is Shared,"Asa B. Palley, Jack B. Soll","Asa B. Palley, Jack B. Soll () Extracting the Wisdom of Crowds When Information Is Shared. Management Science ():",https://doi.org/10.1287/mnsc.2018.3047
,,,An Analysis of Search and Authentication Strategies for Online Matching Platforms,"Amit Basu, Sreekumar Bhaskaran, Rajiv Mukherjee","Amit Basu, Sreekumar Bhaskaran, Rajiv Mukherjee () An Analysis of Search and Authentication Strategies for Online Matching Platforms. Management Science ():",https://doi.org/10.1287/mnsc.2018.3056
,,,Crop Planning in Sustainable Agriculture: Dynamic Farmland Allocation in the Presence of Crop Rotation Benefits,"Onur Boyabatlı, Javad Nasiry, Yangfang (Helen) Zhou","Onur Boyabatlı, Javad Nasiry, Yangfang (Helen) Zhou () Crop Planning in Sustainable Agriculture: Dynamic Farmland Allocation in the Presence of Crop Rotation Benefits. Management Science ():",https://doi.org/10.1287/mnsc.2018.3044
,,,"Contrarians, Extrapolators, and Stock Market Momentum and Reversal","Adem Atmaz, Huseyin Gulen, Stefano Cassella, Fangcheng Ruan","Adem Atmaz, Huseyin Gulen, Stefano Cassella, Fangcheng Ruan () Contrarians, Extrapolators, and Stock Market Momentum and Reversal. Management Science ():",https://doi.org/10.1287/mnsc.2023.4960
,,,Blockchain Adoption in a Supply Chain with Manufacturer Market Power,"Garud Iyengar, Fahad Saleh, Jay Sethuraman, Wenjun Wang","Garud Iyengar, Fahad Saleh, Jay Sethuraman, Wenjun Wang () Blockchain Adoption in a Supply Chain with Manufacturer Market Power. Management Science ():",https://doi.org/10.1287/mnsc.2022.02505
,,,Nonregular Employment and Payout Policy: Evidence from the Massachusetts Independent Contractor Law,"JiHoon Hwang, Kathleen M. Kahle","JiHoon Hwang, Kathleen M. Kahle () Nonregular Employment and Payout Policy: Evidence from the Massachusetts Independent Contractor Law. Management Science ():",https://doi.org/10.1287/mnsc.2022.00103
,,,The Effects of a Short-Term Corporate Social Impact Activity on Employee Turnover: Field Experimental Evidence,"Florencio F. Portocarrero, Vanessa C. Burbano","Florencio F. Portocarrero, Vanessa C. Burbano () The Effects of a Short-Term Corporate Social Impact Activity on Employee Turnover: Field Experimental Evidence. Management Science ():",https://doi.org/10.1287/mnsc.2022.01517
,,,Housing Cycles and Exchange Rates,"Sai Ma, Shaojun Zhang","Sai Ma, Shaojun Zhang () Housing Cycles and Exchange Rates. Management Science ():",https://doi.org/10.1287/mnsc.2023.4932
,,,Breadth of Ownership and the Cross-Section of Corporate Bond Returns,"Jing-Zhi Huang, Nan Qin, Ying Wang","Jing-Zhi Huang, Nan Qin, Ying Wang () Breadth of Ownership and the Cross-Section of Corporate Bond Returns. Management Science ():",https://doi.org/10.1287/mnsc.2023.4950
,,,How Do Product Recommendations Help Consumers Search? Evidence from a Field Experiment,"Xiang (Shawn) Wan, Anuj Kumar, Xitong Li","Xiang (Shawn) Wan, Anuj Kumar, Xitong Li () How Do Product Recommendations Help Consumers Search? Evidence from a Field Experiment. Management Science ():",https://doi.org/10.1287/mnsc.2023.4951
