"Papers","Affiliation","Areas"
"219","The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104","accounting, behavioral economics, behavioral economics and decision analysis, business strategy, decision analysis, entrepreneurship and innovation, finance, guest department editor, guest department editor, information systems, guest editor, operations management, healthcare management, information systems, judgment and decision making, marketing, operations and supply chain management, operations management, organizations, revenue management and market analytics, special issue editors, special section of management science : blockchains and crypto economics, special section of management science on business and climate change, stochastic models and simulation, teck ho, and terrance odean, special issue editors"
"211","Department of Industrial Engineering","behavioral economics and decision analysis, big data analytics, business strategy, data science, finance, management science special section on data-driven prescriptive analytics, marketing, operations management, optimization, optimization and decision analytics, revenue management and market analytics, special issue on ai for finance and business decisions. funding: m. dai was supported by the hong kong research grants council [15212324, 15217123, 15213422, and, special issue on the human-algorithm connection, special section of management science : blockchains and crypto economics, stochastic models and simulation"
"136","Fuqua School of Business, Duke University, Durham, North Carolina 27708","accounting, behavioral economics, behavioral economics and decision analysis, business strategy, data science, decision analysis, entrepreneurship and innovation, finance, judgment and decision making, marketing, operations and supply chain management, operations management, optimization, organizations, revenue management and market analytics, special issue editors, stochastic models and simulation"
"132","Graduate School of Business, Stanford University, Stanford, California 94305","accounting, behavioral economics, behavioral economics and decision analysis, big data analytics, business strategy, data science, finance, information systems, judgment and decision making, management science special section on data-driven prescriptive analytics, marketing, operations and supply chain management, operations management, optimization, organizations, revenue management and market analytics, stochastic models and simulation"
"119","Graduate School of Business, Columbia University, New York, New York 10027","accounting, behavioral economics, big data analytics, business strategy, data science, decision analysis, finance, management science special section on data-driven prescriptive analytics, marketing, operations management, optimization, organizations, revenue management and market analytics, stochastic models &amp; simulation, stochastic models and simulation, teck ho, and terrance odean, special issue editors"
"116","Stanford University",""
"98","Stern School of Business, New York University, New York, New York 10012","accounting, behavioral economics, business strategy, data science, entrepreneurship and innovation, finance, guest department editor, guest department editor, information systems, information systems, marketing, operations management, optimization, organizations, revenue management and market analytics, special issue editors, special issue on business analytics, special section of management science: 65th anniversary, stochastic models and simulation"
"94","Rotman School of Management, University of Toronto, Toronto, Ontario M5S 3E6, Canada","accounting, behavioral economics, behavioral economics and decision analysis, big data analytics, business strategy, decision analysis, entrepreneurship and innovation, finance, information systems, judgment and decision making, marketing, operations management, optimization, organizations, organizations and social networks, revenue management and market analytics, special section of management science : blockchains and crypto economics, special section of management science on business and climate change, special section of management science: 65th anniversary, stochastic models and simulation"
"94","National Bureau of Economic Research, Cambridge, Massachusetts 02138","accounting, behavioral economics, behavioral economics and decision analysis, big data analytics, business strategy, decision analysis, entrepreneurship and innovation, finance, healthcare management, information systems, marketing, operations management, special section of management science : blockchains and crypto economics, special section of management science: 65th anniversary"
"92","Department of Industrial","data science, decision analysis, finance, healthcare management, marketing, operations management, optimization, revenue management and market analytics, special section of management science : blockchains and crypto economics, stochastic models, stochastic models and simulation"
"91","Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139","behavioral economics and decision analysis, business strategy, data science, finance, healthcare management, information systems, management science special section on data-driven prescriptive analytics, marketing, operations management, optimization, special issue on business analytics, special section of management science: 65th anniversary, stochastic models and simulation"
"90","Kellogg School of Management, Northwestern University, Evanston, Illinois 60208","accounting, behavioral economics and decision analysis, business strategy, data science, decision analysis, finance, judgment and decision making, management science special section on data-driven prescriptive analytics, marketing, operations management, optimization, organizations, revenue management and market analytics, special issue on the human-algorithm connection, stochastic models and simulation"
"86","Faculty of Business","accounting, behavioral economics, behavioral economics and decision analysis, business strategy, finance, information systems, jayashankar, operations management, judgment and decision making, management science special section on data-driven prescriptive analytics, marketing, operations management, optimization, optimization and decision analytics, special issue on the human-algorithm connection, stochastic models and simulation"
"86","School of Business Administration, University of Dayton, Dayton, Ohio 45469","entrepreneurship and innovation, finance"
"85","Marshall School of Business, University of Southern California, Los Angeles, California 90089","accounting, behavioral economics, business strategy, decision analysis, entrepreneurship and innovation, finance, information systems, judgment and decision making, marketing, operations management, optimization, revenue management and market analytics, special issue on business analytics, special section of management science on business and climate change, stochastic models and simulation"
"84","Department of Economics","accounting, behavioral economics, behavioral economics and decision analysis, business strategy, decision analysis, entrepreneurship and innovation, finance, health, healthcare management, judgment and decision making, marketing, operations management, optimization, organizations, revenue management and market analytics"
"84","Harvard Business School, Harvard University, Boston, Massachusetts 02163","accounting, behavioral economics, business strategy, decision analysis, entrepreneurship and innovation, finance, information systems, judgment and decision making, marketing, operations management, optimization, organizations, special issue editors, teck ho, and terrance odean, special issue editors"
"83","Columbia University",""
"82","Harvard Business School, Boston, Massachusetts 02163","accounting, behavioral economics, behavioral economics and decision analysis, business strategy, decision analysis, entrepreneurship and innovation, finance, information systems, judgment and decision making, management science special section on data-driven prescriptive analytics, marketing, operations management, optimization"
"79","and National Bureau of Economic Research, Cambridge, Massachusetts 02138","accounting, behavioral economics, behavioral economics and decision analysis, business strategy, entrepreneurship and innovation, finance, healthcare management, information systems, marketing, operations management, organizations, revenue management and market analytics"
"77","University of California, Los Angeles",""
"77","School of Economics","accounting, behavioral economics, behavioral economics and decision analysis, business strategy, data science, decision analysis, finance, information systems, judgment and decision making, marketing, operations management, optimization, special issue on the human-algorithm connection, stochastic models and simulation"
"74","Robert H. Smith School of Business, University of Maryland, College Park, Maryland 20742","accounting, business strategy, entepreneurship and innovation, entrepreneurship and innovation, finance, information systems, marketing, operations management, organizations, r&amp;d and product development, special issue editors, stochastic models and simulation, teck ho, and terrance odean, special issue editors"
"73","Massachusetts Institute of Technology",""
"73","Carnegie-Mellon University",""
"72","School of Business","accounting, behavioral economics and decision analysis, behavioral economics and decisions analysis, business strategy, entrepreneurship and innovation, finance, healthcare management, information systems, marketing, operations management, optimization, revenue management and market analytics, special section of management science on business and climate change, stochastic models and simulation, teck ho, and terrance odean, special issue editors"
"71","University of California, Berkeley",""
"71","Haas School of Business, University of California, Berkeley, Berkeley, California 94720","accounting, behavioral economics, behavioral economics and decision analysis, decision analysis, entrepreneurship and innovation, finance, healthcare management, information systems, judgment and decision making, marketing, operations management, organizations, special issue on the human-algorithm connection, stochastic models and simulation, teck ho, and terrance odean, special issue editors"
"70","Olin Business School, Washington University in St. Louis, St. Louis, Missouri 63130","accounting, business strategy, data science, finance, information systems, marketing, operations management, organizations, revenue management and market analytics"
"69","Carlson School of Management, University of Minnesota, Minneapolis, Minnesota 55455","accounting, business strategy, decision analysis, entrepreneurship and innovation, finance, information science, information systems, marketing, operations and supply chain management, operations management, organizations, r&amp;d and product development"
"67","University of Pennsylvania",""
"66","Naveen Jindal School of Management, University of Texas at Dallas, Richardson, Texas 75080","accounting, behavioral economics, behavioral economics and decision analysis, big data analytics, data science, decision analysis, finance, information systems, judgment and decision making, marketing, operations management, revenue management and market analytics, stochastic models and simulation"
"65","Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139","big data analytics, data science, management science special section on data-driven prescriptive analytics, operations management, optimization, optimization and decision analytics, revenue management and analytics, revenue management and market analytics, special issue on business analytics, stochastic models and simulation"
"64","Northwestern University",""
"64","Tepper School of Business, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213","accounting, data science, decision analysis, healthcare management, information systems, judgment and decision making, marketing, operations and supply chain management, operations management, optimization, optimization and decision analytics, organizations, revenue management and market analytics department, special issue on the human-algorithm connection, special section of management science : blockchains and crypto economics, special section of management science: 65th anniversary, stochastic models and simulation"
"63","Ross School of Business, University of Michigan, Ann Arbor, Michigan 48109","accounting, behavioral economics, big data analytics, business strategy, decision analysis, entrepreneurship and innovation, finance, information systems, marketing, operations and supply chain management, operations management, optimization, organizations, revenue management and market analytics, special issue on business analytics, special issue on the human-algorithm connection, stochastic models and simulation, teck ho, and terrance odean, special issue editors"
"62","Operations Research, Columbia University, New York, New York 10027","behavioral economics and decision analysis, data science, finance, operations management, optimization, revenue management and analytics, revenue management and market analytics, special section of management science : blockchains and crypto economics, stochastic models and simulation"
"56","Booth School of Business, University of Chicago, Chicago, Illinois 60637","accounting, behavioral economics, behavioral economics and data analysis, behavioral economics and decision analysis, decision analysis, finance, healthcare management, judgment and decision making, marketing, operations management, optimization, organizations, revenue management and market analytics, special section of management science on business and climate change, stochastic models and simulation, teck ho, and terrance odean, special issue editors"
"55","Kelley School of Business, Indiana University, Bloomington, Indiana 47405","accounting, behavioral economics and decision analysis, business strategy, decision analysis, finance, healthcare management, information systems, marketing, operations management, special issue editors, stochastic models and simulation, teck ho, and terrance odean, special issue editors"
"54","New York University",""
"54","Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142","accounting, behavioral economics and decision analysis, business strategy, data science, entrepreneurship and innovation, finance, information systems, judgment and decision making, marketing, operations management, optimization, organizations, r&amp;d and product development, stochastic models and simulation, teck ho, and terrance odean, special issue editors"
"53","Technology","behavioral economics and decision analysis, big data analytics, business strategy, data science, entrepreneurship and innovation, health, healthcare management, information systems, management science special section on data-driven prescriptive analytics, operations management, optimization, revenue management and market analytics, special issue on the human-algorithm connection, stochastic models and simulation"
"53","Department of Management Science","big data analytics, decision analysis, finance, information systems, judgment and decision making, operations and supply chain management, operations management, optimization and decision analytics, revenue management and market analytics, special section of management science on business and climate change, stochastic models, stochastic models and simulation"
"53","Questrom School of Business, Boston University, Boston, Massachusetts 02215","accounting, behavioral economics, behavioral economics and decision analysis, business strategy, data science, decision analysis, entrepreneurship and innovation, finance, healthcare management, information systems, judgment and decision making, marketing, operations management, organizations, revenue management and market analytics, special issue on the digital finance, special section of management science : blockchains and crypto economics, special section of management science on business and climate change"
"52","Cornell University",""
"50","Department of Management","accounting, business strategy, entrepreneurship and innovation, finance, information systems, marketing, operations management, organizations"
"49","Columbia Business School, Columbia University, New York, New York 10027","accounting, decision analysis, entrepreneurship and innovation, finance, information systems, judgment and decision making, marketing, operations management, optimization, organizations, revenue management and market analytics, stochastic models and simulation"
"48","Krannert School of Management, Purdue University, West Lafayette, Indiana 47907","accounting, business strategy, decision analysis, finance, healthcare management, information systems, marketing, operations management, revenue management and market analytics, stochastic models and simulation, teck ho, and terrance odean, special issue editors"
"48","Scheller College of Business, Georgia Institute of Technology, Atlanta, Georgia 30308","entrepreneurship and innovation, finance, information systems, marketing, operations management, optimization, organizations, special issue on business analytics, special section of management science on business and climate change"
"47","Goizueta Business School, Emory University, Atlanta, Georgia 30322","accounting, business strategy, entrepreneurship and innovation, finance, information systems, operations management, organizations, special issue editors, special issue on the human-algorithm connection, teck ho, and terrance odean, special issue editors"
"45","University of Pittsburgh",""
"45","Smeal College of Business, Pennsylvania State University, University Park, Pennsylvania 16802","accounting, behavioral economics, decision analysis, finance, information systems, operations management, organizations, special issue on business analytics, teck ho, and terrance odean, special issue editors"
"45","Kenan-Flagler Business School, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599","accounting, finance, information systems, marketing, operations management, organizations, special issue on the human-algorithm connection, stochastic models and simulation, teck ho, and terrance odean, special issue editors"
"45","London Business School, London NW1 4SA, United Kingdom","accounting, business strategy, data science, decision analysis, entrepreneurship and innovation, finance, healthcare management, marketing, operations management, optimization, organizations, stochastic models and simulation"
"45","Institute for Data, Systems,","big data analytics, data science, jayashankar, operations management, judgment and decision making, management science special section on data-driven prescriptive analytics, market design, platform, and demand analytics, marketing, operations management, organizations, revenue management and analytics, revenue management and market analytics"
"43","Purdue University",""
"43","University of Chicago",""
"42","Sauder School of Business, University of British Columbia, Vancouver, British Columbia V6T 1Z2, Canada","accounting, data science, entrepreneurship and innovation, finance, healthcare management, information systems, judgment and decision making, marketing, operations management, optimization, stochastic models and simulation, teck ho, and terrance odean, special issue editors"
"40","The Rand Corporation",""
"40","Tuck School of Business, Dartmouth College, Hanover, New Hampshire 03755","accounting, business strategy, finance, healthcare management, judgment and decision making, marketing, operations management, optimization, organizations, r&amp;d and product development, revenue management and market analytics, special issue on business analytics, special section of management science: 65th anniversary, stochastic models and simulation"
"39","Operations","big data analytics, data science, healthcare management, information systems, judgment and decision making, operations management, optimization, revenue management and market analytics"
"39","Department of Accounting","accounting, finance"
"36","Department of Information","behavioral economics and decision analysis, big data analytics, data science, finance, information systems, operations management, optimization, revenue management and market analytics"
"36","Graduate School of Industrial Administration, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213",""
"36","Stephen M. Ross School of Business, University of Michigan, Ann Arbor, Michigan 48109","accounting, behavioral economics, behavioral economics and decision analysis, business strategy, finance, information systems, operations management, optimization, organizations, organizations and social networks, stochastic models and simulation"
"36","MIT Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142","accounting, business strategy, entrepreneurship and innovation, finance, information systems, marketing, operations management, organizations, revenue management and market analytics, special section of management science: 65th anniversary, stochastic models and simulation"
"36","Anderson School of Management, University of California, Los Angeles, Los Angeles, California 90095","accounting, business strategy, data science, decision analysis, entrepreneurship and innovation, finance, healthcare management, management science special section on data-driven prescriptive analytics, marketing, operations management, optimization, organizations, revenue management and market analytics"
"35","Carroll School of Management, Boston College, Chestnut Hill, Massachusetts 02467","accounting, business strategy, data science, finance, information systems, operations management, optimization, revenue management and market analytics"
