"Papers","Author","Areas","ORCID","Name_Variants"
"84","Michael F. Gorman","","","Michael F. Gorman"
"56","David Simchi-Levi","big data analytics, data science, decision analysis, jayashankar, operations management, management science special section on data-driven prescriptive analytics, operations management, revenue management and analytics, revenue management and market analytics","0000-0002-4650-1519","David Simchi-Levi; Jan Schmitz"
"40","A. Charnes","","","A. Charnes"
"35","W. W. Cooper","","","W. W. Cooper"
"31","Serguei Netessine","behavioral economics, entepreneurship and innovation, operations management, special issue on business analytics, special section of management science : blockchains and crypto economics, special section of management science on business and climate change","0000-0002-3587-3894","Serguei Netessine"
"30","Christopher S. Tang","operations management","0000-0001-9597-7620","Christopher S. Tang; Christopher Tang"
"28","Robert L. Winkler","decision analysis","","Robert L. Winkler"
"28","Hau L. Lee","operations management","0000-0003-2910-6696","Hau L. Lee; Hau Lee"
"26","Gérard P. Cachon","operations management, revenue management and market analytics","0000-0002-7046-8835","Gérard P. Cachon"
"24","Ward Whitt","","","Ward Whitt"
"22","Christian Terwiesch","information systems, operations management","0000-0002-4050-4348","Christian Terwiesch"
"21","Peter C. Fishburn","","","Peter C. Fishburn; Peter Fishburn"
"20","Stephen C. Graves","special section of management science: 65th anniversary","0000-0001-5966-6032","Stephen C. Graves"
"20","Chen Lin","accounting, finance, special issue on the human-algorithm connection","0000-0003-4205-8633","Chen Lin"
"19","Izak Duenyas","behavioral economics and decision analysis, operations and supply chain management, operations management, stochastic models and simulation","0000-0002-1259-8447","Izak Duenyas"
"19","Christoph H. Loch","business strategy, operations management","0000-0002-6569-7473","Christoph H. Loch; Christoph Loch"
"18","Warren H. Hausman","","","Warren H. Hausman"
"18","Evan L. Porteus","","","Evan L. Porteus; Evan Porteus"
"18","Rakesh K. Sarin","","","Rakesh K. Sarin; Rakesh Sarin"
"18","Guillermo Gallego","operations management, optimization, revenue management and market analytics","0000-0002-9664-3750","Guillermo Gallego"
"18","Lorin M. Hitt","guest department editor, guest department editor, information systems, information systems","0000-0003-1736-5711","Lorin M. Hitt; Lorin Hitt"
"17","Ambar G. Rao","","","Ambar G. Rao"
"17","Michael H. Rothkopf","","","Michael H. Rothkopf; Michael Rothkopf"
"17","James S. Dyer","special section of management science: 65th anniversary","","James S. Dyer"
"17","Marshall L. Fisher","operations management","0000-0002-5800-240X","Marshall L. Fisher; Marshall Fisher"
"17","Paul Zipkin","","","Paul Zipkin; Paul H. Zipkin"
"17","Anil Arya","accounting, operations management","0000-0003-0393-2092","Anil Arya"
"17","Catherine Tucker","business strategy, information systems, marketing","0000-0002-1847-4832","Catherine Tucker; Catherine E. Tucker"
"17","Ming Hu","entrepreneurship and innovation, marketing, operations management, revenue management and market analytics","0000-0003-0900-7631","Ming Hu"
"16","Harvey M. Wagner","","","Harvey M. Wagner"
"16","Peter Kolesar","","","Peter Kolesar; Peter J. Kolesar"
"16","V. Srinivasan","","","V. Srinivasan"
"16","Thomas E. Morton","","","Thomas E. Morton"
"16","Morris A. Cohen","operations management","0000-0002-8644-8820","Morris A. Cohen"
"16","Jehoshua Eliashberg","","","Jehoshua Eliashberg"
"16","Linda Green","operations management","","Linda Green; Linda V. Green"
"16","Luk N. Van Wassenhove","operations management","0000-0002-5573-1834","Luk N. Van Wassenhove; Luk Van Wassenhove"
"16","Wallace J. Hopp","big data analytics, operations management","0000-0003-1586-8606","Wallace J. Hopp"
"16","Kannan Srinivasan","information systems","ambiguous","Kannan Srinivasan"
"16","Paul Glasserman","finance, optimization, stochastic models and simulation","0000-0002-9577-0205","Paul Glasserman"
"16","Teck-Hua Ho","behavioral economics, decision analysis, judgment and decision making, operations management","0000-0001-5210-4977","Teck-Hua Ho"
"16","Jan A. Van Mieghem","operations management, stochastic models and simulation","0000-0002-8954-7613","Jan A. Van Mieghem"
"16","Scott Shane","entrepreneurship and innovation","0000-0002-4908-2321","Scott Shane; Scott A. Shane"
"16","Vishal Gaur","focused issue editor, operations management","0000-0002-3095-4310","Vishal Gaur"
"16","Liang Guo","behavioral economics and decision analysis, marketing","0000-0003-1315-0019","Liang Guo"
"16","Sumit Agarwal","finance","0000-0002-8305-3786","Sumit Agarwal"
"15","Melvin F. Shakun","","","Melvin F. Shakun"
"15","Stanley Zionts","","","Stanley Zionts"
"15","Willard I. Zangwill","","","Willard I. Zangwill"
"15","John O. McClain","","","John O. McClain"
"15","Haim Levy","finance","0000-0001-8623-3507","Haim Levy"
"15","Rajiv D. Banker","accounting","0000-0001-8082-7312","Rajiv D. Banker; Rajiv Banker"
"15","Seungjin Whang","","","Seungjin Whang"
"15","Lawrence M. Wein","stochastic models and simulation","","Lawrence M. Wein"
"15","Han Bleichrodt","behavioral economics and decision analysis, decision analysis","0000-0002-2700-412X","Han Bleichrodt"
"15","Georgia Perakis","business strategy, data science, operations management, optimization, special issue on business analytics","0000-0002-0888-9030","Georgia Perakis"
"15","Chung Piaw Teo","behavioral economics, big data analytics, operations management, optimization, revenue management and market analytics, special issue on business analytics","0000-0002-0534-6858","Chung Piaw Teo; Chung-Piaw Teo"
"15","Zuo-Jun Max Shen","big data analytics, management science special section on data-driven prescriptive analytics, marketing, operations management, optimization, optimization and decision analytics","0000-0003-4538-8312","Zuo-Jun Max Shen; Zuo-Jun (Max) Shen; Max Shen"
"15","Anindya Ghose","entrepreneurship and innovation, information systems, operations management, special issue editors, special issue on business analytics","0000-0002-6499-8944","Anindya Ghose"
"15","Laurens Debo","healthcare management, operations and supply chain management, operations management, stochastic models and simulation","0000-0002-2330-7078","Laurens Debo; Laurens G. Debo"
"15","Achal Bassamboo","operations management, stochastic models and simulation","0000-0001-7758-4751","Achal Bassamboo"
"14","Leroy B. Schwarz","","","Leroy B. Schwarz"
"14","Suresh P. Sethi","operations management","","Suresh P. Sethi; Suresh Sethi"
"14","Uday S. Karmarkar","entrepreneurship and innovation, operations management","","Uday S. Karmarkar; Uday Karmarkar"
"14","Gabriel R. Bitran","","","Gabriel R. Bitran"
"14","Haim Mendelson","information systems, operations management","","Haim Mendelson"
"14","Awi Federgruen","marketing, operations management","","Awi Federgruen"
"14","Pradeep K. Chintagunta","marketing, special section of management science on business and climate change","","Pradeep K. Chintagunta; Pradeep Chintagunta"
"14","Elena Katok","behavioral economics, decision analysis, judgment and decision making, operations management, r&amp;d and product development","ambiguous","Elena Katok"
"14","Özalp Özer","operations and supply chain management, operations management, revenue management and market analytics","0000-0001-5552-0968","Özalp Özer"
"14","Stylianos Kavadias","business strategy, decision analysis, entrepreneurship and innovation, operations management","0000-0002-9769-2642","Stylianos Kavadias"
"14","Omar Besbes","data science, operations management, optimization, revenue management and market analytics, stochastic models and simulation","0000-0002-2982-3794","Omar Besbes"
"14","Lin William Cong","finance, information systems, special section of management science : blockchains and crypto economics","0000-0002-2617-2367","Lin William Cong; Will Cong"
"13","George B. Dantzig","","","George B. Dantzig; George Dantzig"
"13","Salah E. Elmaghraby","","","Salah E. Elmaghraby"
"13","Donald G. Morrison","","","Donald G. Morrison; Donald Morrison"
"13","L. Joseph Thomas","","","L. Joseph Thomas"
"13","Ralph L. Keeney","behavioral economics and decision analysis","0000-0002-0258-093X","Ralph L. Keeney"
"13","David E. Bell","information systems, operations management","0000-0003-2997-1591","David E. Bell; David R. Bell"
"13","Martin Weber","behavioral economics, behavioral economics and decision analysis, decision analysis","","Martin Weber"
"13","Peter W. Glynn","stochastic models and simulation","","Peter W. Glynn"
"13","Peter P. Wakker","behavioral economics and decision analysis, decision analysis","0000-0002-2936-5498","Peter P. Wakker; Peter Wakker"
"13","Erik Brynjolfsson","information systems","ambiguous","Erik Brynjolfsson"
"13","Kamalini Ramdas","healthcare management, information systems, operations management","0000-0002-9298-0354","Kamalini Ramdas"
"13","Z. John Zhang","information systems, marketing","0000-0001-5865-7871","Z. John Zhang"
"13","Terry A. Taylor","operations management","0000-0002-1488-8923","Terry A. Taylor; Terry Taylor"
"13","L. Beril Toktay","focused issue editor, marketing, operations and supply chain management, operations management","0000-0001-7446-8253","L. Beril Toktay"
"13","Alok Gupta","information systems, special issue on the human-algorithm connection","0000-0002-2097-1643","Alok Gupta"
"13","Erica L. Plambeck","operations management","0000-0001-9378-5190","Erica L. Plambeck; Erica Plambeck"
"13","Rahul Telang","information systems, special issue on business analytics","0000-0003-1069-1514","Rahul Telang"
"13","Qi Feng","operations management, stochastic models and simulation","0000-0001-6176-044X","Qi Feng"
"13","Nikolaos Trichakis","operations management, optimization, stochastic models and simulation","0000-0002-8324-9148","Nikolaos Trichakis"
"13","Gerry Tsoukalas","finance, operations management, revenue management and market analytics, special issue on the digital finance, special section of management science : blockchains and crypto economics","0000-0003-2011-3646","Gerry Tsoukalas"
"12","Samuel Eilon","","","Samuel Eilon"
"12","William R. King","","","William R. King; William K. King"
"12","Ian I. Mitroff","","","Ian I. Mitroff"
"12","Stephen A. Smith","operations management","","Stephen A. Smith; Stephen F. Smith; Stephen Smith"
"12","Richard Engelbrecht-Wiggans","","","Richard Engelbrecht-Wiggans"
"12","Jagmohan S. Raju","information systems, marketing","","Jagmohan S. Raju"
"12","Jing-Sheng Song","management science special section on data-driven prescriptive analytics, operations management","0000-0001-8908-2302","Jing-Sheng Song"
"12","Garrett van Ryzin","operations management, revenue management and market analytics","0000-0002-7901-6771","Garrett van Ryzin; Garrett J. van Ryzin"
"12","Fangruo Chen","operations management","","Fangruo Chen"
"12","Duncan Simester","information systems, marketing","0000-0003-2758-0116","Duncan Simester; Duncan I. Simester"
"12","J. Miguel Villas-Boas","marketing","0000-0003-1299-4324","J. Miguel Villas-Boas"
"12","Panos Kouvelis","finance, operations management","0000-0002-8800-4537","Panos Kouvelis"
"12","Stephen E. Chick","health, healthcare management, operations management, stochastic models and simulation","0000-0002-8026-1571","Stephen E. Chick"
"12","Fuqiang Zhang","marketing, operations management","0000-0003-2918-2613","Fuqiang Zhang"
"12","Xuanming Su","decision analysis, guest editor, operations management, operations management","0000-0003-4862-3074","Xuanming Su"
"12","Alok Kumar","accounting, finance, information systems","0000-0002-7350-1397","Alok Kumar"
"12","Paat Rusmevichientong","marketing, operations management, optimization, revenue management and market analytics, special issue on business analytics","0000-0001-9584-4203","Paat Rusmevichientong"
"12","Stephen Leider","behavioral economics, operations management, special issue on the human-algorithm connection, teck ho, and terrance odean, special issue editors","0000-0002-1106-7038","Stephen Leider"
"12","Maxime C. Cohen","business strategy, operations management, optimization, revenue management and market analytics","0000-0002-2474-3875","Maxime C. Cohen"
"12","Dennis J. Zhang","data science, operations management, optimization, revenue management and market analytics","0000-0002-4544-775X","Dennis J. Zhang; Dennis Zhang"
"11","Arthur M. Geoffrion","","","Arthur M. Geoffrion"
"11","Fred Glover","","","Fred Glover"
"11","Donald Erlenkotter","","","Donald Erlenkotter"
"11","Timothy W. Ruefli","","","Timothy W. Ruefli; Timothy Ruefli"
"11","M. R. Rao","","","M. R. Rao; M. K. Rao"
"11","Gary L. Lilien","","","Gary L. Lilien; Gary Lilien"
"11","Herbert Moskowitz","","","Herbert Moskowitz"
"11","Vijay Mahajan","","","Vijay Mahajan"
"11","Abraham Seidmann","information systems, operations management","0000-0003-1822-5294","Abraham Seidmann"
"11","George Loewenstein","behavioral economics, behavioral economics and decision analysis, information systems, judgment and decision making","0000-0003-2790-0474","George Loewenstein; George F. Loewenstein"
"11","William S. Lovejoy","operations management","","William S. Lovejoy; William Lovejoy"
"11","Karl T. Ulrich","entrepreneurship and innovation","","Karl T. Ulrich; Karl Ulrich"
"11","Sridhar Tayur","healthcare management, stochastic models and simulation","0000-0002-8008-400X","Sridhar Tayur; Sridhar R. Tayur"
"11","Dimitris Bertsimas","healthcare management, operations management, optimization, stochastic models and systems","0000-0002-1985-1003","Dimitris Bertsimas; Dimitris J. Bertsimas"
"11","Barrie R. Nault","information systems","0000-0001-7856-885X","Barrie R. Nault"
"11","Roman Kapuscinski","operations and supply chain management, operations management","0000-0003-2972-3168","Roman Kapuscinski"
"11","Ramayya Krishnan","information systems","","Ramayya Krishnan"
"11","Francis de Véricourt","decision analysis, healthcare management, operations management, special issue on the human-algorithm connection","0000-0003-2832-0738","Francis de Véricourt"
"11","Manel Baucells","behavioral economics and decision analysis, decision analysis","0000-0003-0266-3644","Manel Baucells"
"11","Damian R. Beil","operations management, revenue management and market analytics department","0000-0002-8933-890X","Damian R. Beil; Damian Beil"
"11","Brian Mittendorf","accounting, operations management","0000-0002-5182-4240","Brian Mittendorf"
"11","Ashish Arora","business strategy, entrepreneurship and innovation","0000-0001-5097-8646","Ashish Arora"
"11","Karan Girotra","operations management, revenue management and market analytics","0000-0001-5529-2299","Karan Girotra"
"11","Subodha Kumar","big data analytics, data science, information systems, operations management","0000-0002-4401-7950","Subodha Kumar"
"11","Melvyn Sim","data science, decision analysis, management science special section on data-driven prescriptive analytics, optimization","0000-0001-9798-2482","Melvyn Sim"
"11","Bradley R. Staats","healthcare management, operations management, organizations","0000-0002-2674-5831","Bradley R. Staats"
"11","Gad Allon","marketing, operations management, stochastic models and simulation","0000-0002-4815-6667","Gad Allon"
"11","Andrew M. Davis","behavioral economics, behavioral economics and decision analysis, decision analysis, operations management","0000-0002-1689-2299","Andrew M. Davis"
"11","Victor Martínez-de-Albéniz","entrepreneurship and innovation, operations management, optimization","0000-0001-8391-2205","Victor Martínez-de-Albéniz"
"11","Kay Giesecke","finance, stochastic models, stochastic models and simulation","0000-0002-5380-2918","Kay Giesecke"
"11","Guofu Zhou","finance, management science special section on data-driven prescriptive analytics, sustainability","0000-0002-4104-403X","Guofu Zhou"
"11","Jun Li","big data analytics, business strategy, healthcare management, operations management","0000-0002-9237-9147","Jun Li"
"11","J. George Shanthikumar","operations management, stochastic models and simulation","0000-0002-7345-4674","J. George Shanthikumar; Lei Li"
"10","Andrew B. Whinston","special issue on business analytics","","Andrew B. Whinston; Andrew Whinston"
"10","D. J. White","","","D. J. White"
"10","Howard Kunreuther","","","Howard Kunreuther; Howard C. Kunreuther"
"10","Matthew J. Sobel","operations management","","Matthew J. Sobel"
"10","William L. Berry","","","William L. Berry"
"10","Kenneth R. Baker","","","Kenneth R. Baker"
"10","John A. Muckstadt","optimization","","John A. Muckstadt"
"10","Steven Nahmias","","","Steven Nahmias"
"10","Wade D. Cook","","","Wade D. Cook"
"10","Eric von Hippel","entrepreneurship and innovation","","Eric von Hippel"
"10","Kamran Moinzadeh","","","Kamran Moinzadeh"
"10","James E. Smith","optimization, special section of management science: 65th anniversary","0000-0002-9429-7567","James E. Smith"
"10","Daniel A. Levinthal","organizations","","Daniel A. Levinthal; Daniel Levinthal"
"10","Albert Y. Ha","operations management","0000-0003-2345-0381","Albert Y. Ha"
"10","Sumit Sarkar","information systems","0000-0003-3045-1024","Sumit Sarkar"
"10","Michael D. Smith","information systems, marketing, special issue on business analytics","0000-0001-6844-7923","Michael D. Smith; Michael Smith"
"10","Mohammed Abdellaoui","decision analysis","0000-0003-4226-4461","Mohammed Abdellaoui"
"10","Noah Gans","healthcare management, operations management","0000-0002-5839-7122","Noah Gans"
"10","Wilfred Amaldoss","marketing","0000-0003-0768-2270","Wilfred Amaldoss"
"10","Mengze Shi","marketing","0000-0001-6057-6982","Mengze Shi"
"10","Ganesh Janakiraman","operations management, stochastic models and simulation","0000-0001-7386-4318","Ganesh Janakiraman"
"10","Dirk Sliwka","behavioral economics, behavioral economics and decision analysis, decision analysis","0000-0002-8026-0165","Dirk Sliwka"
"10","Marcelo Olivares","healthcare management, operations management","0000-0001-8465-624X","Marcelo Olivares"
"10","Milind Dawande","information systems, operations management, stochastic models and simulation","0000-0001-6956-0856","Milind Dawande"
"10","Retsef Levi","data science, operations management, optimization","0000-0002-1994-4875","Retsef Levi"
"10","Eric Overby","information systems, teck ho, and terrance odean, special issue editors","0000-0001-5285-4436","Eric Overby; Eric M. Overby; Erik Brynjolfsson"
"10","Katherine L. Milkman","behavioral economics, behavioral economics and decision analysis, decision analysis, judgment and decision making, operations management","0000-0002-9706-4830","Katherine L. Milkman"
"10","Vivek F. Farias","data science, operations management, optimization, stochastic models and simulation","0000-0002-5856-9246","Vivek F. Farias; Vivek Farias"
"10","Liyan Yang","accounting, finance, special issue on ai for finance and business decisions","0000-0002-2599-1328","Liyan Yang"
"10","Nicos Savva","entrepreneurship and innovation, healthcare management, information systems, operations management","0000-0001-8807-5952","Nicos Savva"
"10","Soo-Haeng Cho","operations management, optimization and decision analytics","0000-0001-5158-7591","Soo-Haeng Cho"
"10","Gordon Burtch","entrepreneurship and innovation, information systems, marketing, special issue on the human-algorithm connection","0000-0001-9798-1113","Gordon Burtch"
"10","Kostas Bimpikis","operations management, stochastic models and simulation","0000-0002-5289-0397","Kostas Bimpikis"
"10","Agostino Capponi","finance, revenue management and market analytics, special section of management science : blockchains and crypto economics, stochastic models and simulation","0000-0001-9735-7935","Agostino Capponi"
"9","Martin Shubik","operations management","","Martin Shubik"
"9","Russell L. Ackoff","","","Russell L. Ackoff"
"9","Edwin Mansfield","","","Edwin Mansfield"
"9","Cyrus Derman","","","Cyrus Derman"
"9","Kalman J. Cohen","","","Kalman J. Cohen"
"9","John C. Harsanyi","","","John C. Harsanyi"
"9","Donald L. Iglehart","","","Donald L. Iglehart"
"9","Gary D. Eppen","","","Gary D. Eppen"
"9","Ronald A. Howard","","","Ronald A. Howard"
"9","John U. Farley","","","John U. Farley"
"9","Frank M. Bass","","","Frank M. Bass"
"9","H. Donald Ratliff","","","H. Donald Ratliff"
"9","S. K. Goyal","","","S. K. Goyal"
"9","Jyrki Wallenius","","","Jyrki Wallenius"
"9","Andris A. Zoltners","","","Andris A. Zoltners"
"9","Edward P. C. Kao","","","Edward P. C. Kao"
"9","John E. Ettlie","","","John E. Ettlie; John Ettlie"
"9","Daniel Granot","operations management, optimization","0000-0001-5779-1032","Daniel Granot"
"9","Gerald G. Brown","","","Gerald G. Brown; Gerald Brown"
"9","Avishai Mandelbaum","stochastic models and simulation","","Avishai Mandelbaum"
"9","Jonathan F. Bard","","","Jonathan F. Bard"
"9","Maqbool Dada","operations management","0000-0002-5256-1446","Maqbool Dada"
"9","Robert T. Clemen","","","Robert T. Clemen"
"9","Yigal Gerchak","","","Yigal Gerchak"
"9","Ananth V. Iyer","","","Ananth V. Iyer; Ananth. V. Iyer"
"9","Lode Li","operations management","","Lode Li"
"9","Yu-Sheng Zheng","","","Yu-Sheng Zheng"
"9","Suresh Radhakrishnan","accounting","0000-0003-0089-019X","Suresh Radhakrishnan"
"9","Stephen M. Gilbert","operations management, special issue editors","0000-0002-8555-1711","Stephen M. Gilbert; Stephen Gilbert"
"9","Chrysanthos Dellarocas","information systems","","Chrysanthos Dellarocas"
"9","Charles J. Corbett","operations management","0000-0003-1814-3977","Charles J. Corbett; Charles Corbett"
"9","Stefanos A. Zenios","operations management, optimization","","Stefanos A. Zenios"
"9","Gustavo Vulcano","operations management, revenue management and market analytics","0000-0003-0083-4737","Gustavo Vulcano; Gustavo J. Vulcano"
"9","Ravi Bapna","information systems","0000-0002-5251-7218","Ravi Bapna"
"9","Gary E. Bolton","behavioral economics, behavioral economics and decision analysis, decision analysis, judgment and decision making","0000-0001-6393-9478","Gary E. Bolton; Gary Bolton"
"9","Kartik Hosanagar","information systems","0000-0002-6442-9434","Kartik Hosanagar"
"9","Saif Benjaafar","operations management, optimization, stochastic models and simulation","0000-0002-1949-0105","Saif Benjaafar"
"9","Axel Ockenfels","behavioral economics, decision analysis, special section of management science: 65th anniversary","0000-0003-1456-0191","Axel Ockenfels"
"9","Seyed M. R. Iravani","operations management, stochastic models and simulation","","Seyed M. R. Iravani; Seyed Iravani; Seyed M. Iravani"
"9","Ritu Agarwal","entrepreneurship and innovation, information systems","0000-0002-8907-5652","Ritu Agarwal"
"9","Jiri Chod","finance, operations management","0000-0001-5283-710X","Jiri Chod"
