"Year","Volume","Issue","Page","Title","Authors","Cite As","DOI","Abstract","Status","Accepting Editor","Area","Affiliations","Date Added",""
"2026","","","","Asymptotic Optimality of Semi-Open-Loop Policies in Inventory Models with Stochastic Lead Times","Xingyu Bai, Xin Chen, Menglong Li, Alexander L. Stolyar","Xingyu Bai, Xin Chen, Menglong Li, Alexander L. Stolyar (2026) Asymptotic Optimality of Semi-Open-Loop Policies in Inventory Models with Stochastic Lead Times. Management Science.","https://doi.org/10.1287/mnsc.2023.00539","Inventory models with large and uncertain lead times are notoriously difficult to manage due to the curse of dimensionality. Recent works suggest that in inventory models with large deterministic lead times, semi-open-loop policies are asymptotically optimal. In this paper, we provide a theoretical foundation for the superior performance of semi-open-loop policies in inventory models where the lead times are not only large but also exhibit high variability. In the single-sourcing lost-sales inventory model with divisible products, we show that the optimality gap of constant-order policies decays exponentially fast as the lead time increases. In the single-sourcing lost-sales inventory model with indivisible products, under the assumption that the placed orders cannot cross in time, we propose a bracket policy, which alternates deterministically between two consecutive integer order quantities, and prove that the bracket policy is asymptotically optimal. In the dual-sourcing backlog inventory model with divisible products, we show that a semi-open-loop policy, which places a constant order from the regular supplier in each period, and implements a state-dependent modified base-stock policy from the emergency supplier, is asymptotically optimal, and we also extend our analysis to the joint pricing and inventory model. Finally, we provide a comprehensive numerical study to demonstrate the good performance of the proposed policies and derive further managerial insights. This paper was accepted by Jeannette Song, operations management. Funding: This work was supported by the National Science Foundation [Grant CMMI-1635160], the Hong Kong Research Grants Council [General Research Fund CityU11508223], and the Hong Kong Research Grants Council [Early Career Scheme CityU21505825]. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2023.00539 .","Articles in Advance","Jeannette Song","operations management","Department of Logistics; Maritime Studies, Faculty of Business, The Hong Kong Polytechnic University, Hong Kong; H. Milton Stewart School of Industrial; Systems Engineering, Georgia Institute of Technology, Atlanta, Georgia 30332; Department of Decision Analytics; Operations, City University of Hong Kong, Hong Kong; Industrial; Enterprise Systems Engineering & Coordinated Science Lab, University of Illinois at Urbana-Champaign, Urbana, Illinois 61801","2026-07-06",""
"2026","","","","The Role of Digital Platforms in Data Markets: How Platform-Shared Market Data Through Advanced Analytics Empower Firm Innovation","Yubo Chen, Xuebin Cui, Aishen Li, Banggang Wu, Liu Yang","Yubo Chen, Xuebin Cui, Aishen Li, Banggang Wu, Liu Yang (2026) The Role of Digital Platforms in Data Markets: How Platform-Shared Market Data Through Advanced Analytics Empower Firm Innovation. Management Science.","https://doi.org/10.1287/mnsc.2024.06633","Despite the growing value of data in digital markets, data sharing across firms is constrained by increasingly stringent privacy regulations. Digital platforms with their extensive data and analytical capabilities can help overcome these constraints by sharing market information through advanced analytics rather than raw data. In collaboration with Alibaba’s Taobao Marketplace, we utilize a natural experiment and examine how platform-shared data affect retailers’ performance. We find that advanced data analytics increase retailer sales by 31.8% beyond the effects of descriptive analytics. Analytics leveraging platform-level market data generate larger and more persistent performance gains than those relying solely on firm-level data, with small retailers benefiting disproportionately as market data help bridge their information gaps. Mechanism analyses reveal no effect on price and advertising expenditures; instead, platform-shared data enable retailers to innovate their product assortments, expanding category scope by 6.8% and increasing new stock-keeping unit introductions by 10.5%. This study contributes to the data economy literature by demonstrating that platform-shared market data can serve as a critical input to firm innovation, fostering more effective product assortment innovation and sustained performance improvements. Our findings also inform ongoing debates on data and platforms regulation by offering managerial and policy insights into how nonrival market data can be shared by platforms through data analytics to empower traditional businesses. This paper was accepted by Duncan Simester, marketing. Funding: Y. Chen and L. Yang acknowledge the financial support from the National Natural Science Foundation of China [Grant 71991461] and Tsinghua University School of Economics and Management Research Grant. X. Cui acknowledges the financial support from the National Natural Science Foundation of China [Grant 72002096]. B. Wu acknowledges the financial support from the National Natural Science Foundation of China [Grants 72372109 and 71902148] and Guanghua Talent Project of Southwestern University of Finance and Economics. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2024.06633 .","Articles in Advance","Duncan Simester","marketing","School of Economics; Management, Tsinghua University, Beijing 100084, China; School of Digital Economics; Management, Nanjing University, Suzhou 215163, China; Lee Kong Chian School of Business, Singapore Management University, 188065 Singapore; School of Business Administration, Faculty of Business Administration, Southwestern University of Finance and Economics, Chengdu 611130, China","2026-07-06",""
"2026","72","7","iv-vi","Editorial Board",""," (2026) Editorial Board. Management Science 72(7):iv-vi.","https://doi.org/10.1287/mnsc.2026.eb.v72n7","","Other","","","","2026-07-06",""
"2026","","","","Speed Up the Cold-Start Learning in Two-Sided Bandits with Many Arms","Mohsen Bayati, Junyu Cao, Wanning Chen","Mohsen Bayati, Junyu Cao, Wanning Chen (2026) Speed Up the Cold-Start Learning in Two-Sided Bandits with Many Arms. Management Science.","https://doi.org/10.1287/mnsc.2022.03394","Multiarmed bandit (MAB) algorithms are efficient approaches to reduce the opportunity cost of online experimentation and are used by companies to find the best product from periodically refreshed product catalogs. However, these algorithms face the so-called cold-start at the onset of the experiment due to a lack of knowledge of customer preferences for new products, requiring an initial data collection phase known as the burn-in period. During this period, standard MAB algorithms operate like randomized experiments, incurring large burn-in costs which scale with the large number of products. We attempt to reduce the burn-in by identifying that many products can be cast into two-sided products and then naturally model the rewards of the products with a matrix, whose rows and columns represent the two sides, respectively. Next, we design two-phase bandit algorithms that first use subsampling and low-rank matrix estimation to obtain a substantially smaller targeted set of products and then apply a Upper Confidence Bound procedure on the target products to find the best one. We theoretically show that the proposed algorithms lower costs and expedite the experiment in cases when there is limited experimentation time along with a large product set. Our analysis also provides insights into three experiment regimes of long, short, and ultra-short horizon, determined by the dimensions of the matrix. Empirical evidence from both synthetic data and a real-world data set on music streaming services validates the superior performance suggested by our theory. This paper was accepted by J. George Shanthikumar, data science. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2022.03394 .","Articles in Advance","J. George Shanthikumar","data science","Graduate School of Business,  Stanford University, Palo Alto, California 94305; McCombs School of Business,  The University of Texas at Austin, Austin, Texas 78712; Foster School of Business,  University of Washington, Seattle, Washington 98195","2026-06-29",""
"2026","","","","ESG and the Stock Market: Is ESG Exposure Systematic?","Liya Chu, Kent Wang, Bohui Zhang, Guofu Zhou","Liya Chu, Kent Wang, Bohui Zhang, Guofu Zhou (2026) ESG and the Stock Market: Is ESG Exposure Systematic?. Management Science.","https://doi.org/10.1287/mnsc.2024.07169","We study the relation between firms’ environmental, social, and governance (ESG) performance and the aggregate stock market returns. Based on 38 individual ESG measures, we construct a market-level ESG index. With both the traditional predictive regression approach and two recently developed machine-learning methods, we find that the ESG index has strong and positive predictive power on the market both in- and out-of-sample, and both the cash flow and discount rate channels are the economic drivers of predictability. Our results are robust to a number of controls and set-ups. Our novel finding on the significant market-wide impact of the ESG provides support for the economy-wide importance of the ESG risk and for the central role played by governments. This paper was accepted by Caroline Flammer, sustainability. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2024.07169 .","Articles in Advance","Caroline Flammer","sustainability","School of Management, Xi’an Jiaotong University, Xi’an 710049, China; Australian Securities; Investments Commission (ASIC), Canberra, Australian Capital Territory 2601, Australia; School of Management; Economics; Shenzhen Finance Institute, The Chinese University of Hong Kong, Shenzhen (CUHK-Shenzhen), Shenzhen 518172, China; Olin Business School, Washington University in St. Louis, St. Louis, Missouri 63130","2026-06-29",""
"2026","","","","From Shadow AI to Governed AI Review: A Commentary on “Fighting Fire with Fire: Infusing AI into Peer Review to Sustain Quality Scholarship”","Zhenhui (Jack) Jiang","Zhenhui (Jack) Jiang (2026) From Shadow AI to Governed AI Review: A Commentary on “Fighting Fire with Fire: Infusing AI into Peer Review to Sustain Quality Scholarship”. Management Science.","https://doi.org/10.1287/mnsc.2026.02442","This paper was accepted by Christoph Loch, commentary.","Articles in Advance","Christoph Loch","commentary","HKU Business School, The University of Hong Kong, Hong Kong, China","2026-06-29",""
"2026","","","","The Spillover Effect of Social Capital Along the Supply Chain: Evidence from the Cost of Debt","Yuyan Guan, Xing Li, Gerald J. Lobo, Haibin Wu","Yuyan Guan, Xing Li, Gerald J. Lobo, Haibin Wu (2026) The Spillover Effect of Social Capital Along the Supply Chain: Evidence from the Cost of Debt. Management Science.","https://doi.org/10.1287/mnsc.2024.04778","Prior research indicates that social capital constrains opportunistic behavior and facilitates cooperation in bilateral relationships. We hypothesize that firms conducting business with high social capital customers are perceived by their banks as having lower supply chain risk and document a negative association between suppliers’ loan spreads and the social capital of their major customers. Our cross-sectional analyses show that the negative association is stronger when (1) suppliers make more relationship-specific investments or have weaker bargaining power; and (2) customers’ information environment is more opaque. Further analyses reveal that customers’ social capital has a positive impact on their supplier firms’ nonpricing loan terms. Taken together, our findings indicate that customers’ social capital engenders a spillover effect along the supply chain, enabling suppliers to enjoy lower borrowing costs and more favorable nonpricing loan terms by mitigating the hold-up risks they face. This paper was accepted by Ranjani Krishnan, accounting. Funding: Y. Guan received financial support from Nanyang Technological University [Start-up Grant 021234-00001]. X. Li received financial support from the National Natural Science Foundation of China [Grant 72302180] and the China Postdoctoral Science Foundation [Grants 2025T180187 and 2021M692542]. H. Wu received financial support from City University of Hong Kong. Supplemental Material: The data files are available at https://doi.org/10.1287/mnsc.2024.04778 .","Articles in Advance","Ranjani Krishnan","accounting","Nanyang Business School, Nanyang Technological University, Singapore 639956; Faculty of Business for Science; Technology, School of Management, University of Science and Technology of China, Hefei 230026, China; C. T. Bauer College of Business, University of Houston, Houston, Texas 77004; College of Business, City University of Hong Kong, Hong Kong, China","2026-06-29",""
"2026","","","","Second-Tier Stock Exchanges and Growth of Entrepreneurship","Huasheng Gao, Po-Hsuan Hsu, Yuxi Wang","Huasheng Gao, Po-Hsuan Hsu, Yuxi Wang (2026) Second-Tier Stock Exchanges and Growth of Entrepreneurship. Management Science.","https://doi.org/10.1287/mnsc.2024.08619","We examine the role of second-tier stock exchanges in an entrepreneurial context from a global perspective. We construct a country-industry-year panel of global venture capitalist (VC)-invested startups, and find a significant increase in entrepreneurial activity following the launch of such markets. A causal interpretation is supported by additional tests for staggered difference-in-differences regressions and interacted regressions based on industry-specific dependence on second-tier stock exchanges. We propose a VC exit mechanism that receives empirical support: the launch of second-tier stock exchanges positively predicts (i) VC investment in startups, (ii) VCs’ valuation of startups, (iii) startups’ patenting records, (iv) startups’ initial public offering (IPO) likelihood, and (v) startups’ IPO valuation. We find that more startups are created in countries with more VC investment after the launch of such markets. We also find that the effect of second-tier stock exchanges on entrepreneurial ventures increases with financial resources, human capital, and intellectual property protection. This paper was accepted by Matt Marx, entrepreneurship and innovation. Funding: H. Gao acknowledges financial support from the National Natural Science Foundation of China [Grant 72472028]. P.-H. Hsu acknowledges research support from the National Science and Technology Council in Taiwan [Grants NSTC 113-2410-H-007-008-MY3 and NSTC 114-2410-H-007-016-MY3], the Mack Institute for Innovation Management of the Wharton School at the University of Pennsylvania, and the E.SUN Academic Award for financial and research support. Y. Wang acknowledges financial support from the National Natural Science Foundation of China [Grant 72402130]. This work was also supported by the Dalian Commodity Exchange. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2024.08619 .","Articles in Advance","Matt Marx","entrepreneurship and innovation","International School of Finance, Fudan University, Shanghai 200433, China; College of Technology Management; Taipei School of Economics; Political Science, National Tsing Hua University, Hsinchu 30013, Taiwan; Antai College of Economics; Management, Shanghai Jiao Tong University, Shanghai 200240, China;; School of Business, Singapore University of Social Sciences, Singapore 599494, Singapore","2026-06-22",""
"2026","","","","EnsembleIV: Creating Instrumental Variables from Ensemble Learners for Robust Statistical Inference with ML- Generated Variables","Gordon Burtch, Edward McFowland, Mochen Yang, Gediminas Adomavicius","Gordon Burtch, Edward McFowland, Mochen Yang, Gediminas Adomavicius (2026) EnsembleIV: Creating Instrumental Variables from Ensemble Learners for Robust Statistical Inference with ML- Generated Variables. Management Science.","https://doi.org/10.1287/mnsc.2024.08999","Advances in machine learning have made it easier to extract useful information from both structured and unstructured data. Accordingly, empirical researchers often seek to leverage machine learning for statistical inference and hypothesis testing. We study an increasingly popular practice wherein a supervised machine learning model is trained to predict a certain variable of interest, and the predicted values are subsequently used in regression models as independent variables to draw statistical inferences. However, inevitably, errors in predictions manifest as measurement errors in regression models and lead to estimation biases. In this paper, we design and evaluate a novel approach, termed EnsembleIV, to address the issue. We propose the use of ensemble machine learning techniques to generate the predictions and show that individual learners in the ensemble (after a proposed special-purpose data-driven transformation procedure) can serve as instrumental variables to correct for the measurement error and avoid estimation biases. EnsembleIV’s effectiveness is demonstrated on both synthetic and real data sets for both linear and generalized linear regression models. We also compare EnsembleIV with several alternative bias correction methods and highlight its advantages. Overall, EnsembleIV represents a flexible algorithm that enables empirical researchers to draw robust statistical inferences with independent variables generated via machine learning. This paper was accepted by D.J. Wu, information systems. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2024.08999 .","Articles in Advance","D.J. Wu","information systems","Questrom School of Business, Boston University, Boston, Massachusetts 02215; Harvard Business School, Harvard University, Boston, Massachusetts 02163; Minnesota Carlson, University of Minnesota, Minneapolis, Minnesota 55455","2026-06-22",""
"2026","","","","Lemon Cycles","Feng Dong, Ernest Liu","Feng Dong, Ernest Liu (2026) Lemon Cycles. Management Science.","https://doi.org/10.1287/mnsc.2024.07248","We build a model of endogenous credit cycles arising from the dynamics of adverse selection. Heterogeneous entrepreneurs trade productive assets in an anonymous market subject to financial frictions. Cream-skimming rent-seekers create lemon assets that can be traded. Lemon assets are indistinguishable ex-ante from the productive assets but have no productive value ex-post. The average quality of assets is the key state variable of the economy. High asset prices today attract the creation of more lemons, thereby exacerbating adverse selection and depressing the future reallocation of productive assets and asset prices. Productive and lemon assets therefore exhibit predator-prey dynamics, and the quality of assets evolves endogenously over time. The equilibrium may feature endogenous cycles and chaos, with the credit market freezing and thawing recurrently and with deterministic ups and downs in asset prices and the volume of trades. We show that a social planner has incentives to tax credit market activities in order to reduce lemon assets and to eliminate endogenous cycles. This paper was accepted by Will Cong, finance. Funding: F. Dong acknowledges the financial support from the National Natural Science Foundation of China [Grant 72525004]. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2024.07248 .","Articles in Advance","Will Cong","finance","School of Economics; Management, Tsinghua University, Beijing 10084, China; Department of Economics, Princeton University, Princeton, New Jersey 08544","2026-06-22",""
